Description,Offense,Punishment,Section
"b'Description of IPC Section 140\nAccording to section 140 of Indian penal code, Whoever, not being a soldier, sailor or airman in the Military, Naval or Air service of the Government of India, wears any garb or carries any token resembling any garb or token used by such a soldier, sailor or airman with the intention that it may be believed that he is such a soldier, sailor or airman, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.\n\n\nIPC 140 in Simple Words\nIf someone who is not a military member wears a uniform or carries something resembling a military uniform to deceive others into believing they are a soldier, sailor, or airman, they can be punished with up to three months in jail, a fine of up to five hundred rupees, or both.'","b'Wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman'",b'3 Months or Fine or Both',b'IPC_140'
"b'Description of IPC Section 127\nAccording to section 127 of Indian penal code, Whoever receives any property knowing the same to have been taken in the commission of any of the offences mentioned in sections 125 and 126, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine and to forfeiture of the property so received.\n\n\nIPC 127 in Simple Words\nIf someone receives property knowing it was taken during the commission of certain offenses (mentioned in sections 125 and 126), they can be punished with imprisonment of up to seven years, fined, and the property can be forfeited.'",b'Receiving property taken by war or depredation mentioned in sections 125 And 126',b'7 Years + Fine + forfeiture of property',b'IPC_127'
"b'Description of IPC Section 128\nAccording to section 128 of Indian penal code, Whoever, being a public servant and having the custody of any State prisoner or prisoner of war, voluntarily allows such prisoner to escape from any place in which such prisoner is confined, shall be punished with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.\n\n\nIPC 128 in Simple Words\nIf a public servant, responsible for the custody of a State prisoner or prisoner of war, intentionally allows the prisoner to escape from confinement, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.'",b'Public servant voluntarily allowing prisoner of State or war in his custody to escape',b'Imprisonment for Life or 10 Years + Fine',b'IPC_128'
"b'Description of IPC Section 129\nAccording to section 129 of Indian penal code, Whoever, being a public servant and having the custody of any State prisoner or prisoner of war, negligently suffers such prisoner to escape from any place of confinement in which such prisoner is confined, shall be punished with simple imprisonment for a term which may extend to three years, and shall also be liable to fine.\n\n\nIPC 129 in Simple Words\nIf a public servant, responsible for the custody of a State prisoner or prisoner of war, carelessly allows the prisoner to escape from confinement, they can be punished with up to three years in jail and may also be fined.'",b'Public servant negligently suffering prisoner of State or war in his custody to escape',b'Simple Imprisonment 3 Years + Fine',b'IPC_129'
"b'Description of IPC Section 130\nAccording to section 130 of Indian penal code, Whoever knowingly aids or assists any State prisoner or prisoner of war in escaping from lawful custody, or rescues or attempts to rescue any such prisoner, or harbours or conceals any such prisoner who has escaped from lawful custody, or offers or attempts to offer any resistance to the recapture of such prisoner shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.\n\n\nIPC 130 in Simple Words\nIf someone knowingly helps a State prisoner or prisoner of war escape from lawful custody, rescues them, hides them after their escape, or resists their recapture, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.'","b'Aiding escape of, rescuing or harbouring, such prisoner, or offering Any resistance to the recapture of such prisoner'",b'Imprisonment for Life or 10 Years + Fine',b'IPC_130'
"b'Description of IPC Section 131\nAccording to section 131 of Indian penal code, Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India or attempts to seduce any such officer, soldier, sailor or airman from his allegiance or his duty, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.\n\n\nIPC 131 in Simple Words\nIf someone encourages the commission of mutiny by an officer, soldier, sailor, or airman in the Indian Army, Navy, or Air Force or tries to lead them astray from their loyalty or duty, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.'","b'Abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty'",b'Imprisonment for Life or 10 Years + Fine',b'IPC_131'
"b'Description of IPC Section 132\nAccording to section 132 of Indian penal code, Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, shall, if mutiny be committed in consequence of that abetment, be punished with death or with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.\n\n\nIPC 132 in Simple Words\nIf someone encourages the commission of mutiny by an officer, soldier, sailor, or airman in the Indian Army, Navy, or Air Force, and mutiny occurs as a result, the abettor can be punished with death, life imprisonment, or imprisonment for up to ten years, and may also be fined.'","b'Abetment of mutiny, if mutiny is committed in consequence thereof'",b'Death or Imprisonment for Life or 10 Years + Fine',b'IPC_132'
"b'Description of IPC Section 133\nAccording to section 133 of Indian penal code, Whoever abets an assault by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, on any superior officer being in the execution of his office, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.\n\n\nIPC 133 in Simple Words\nIf someone encourages an officer, soldier, sailor, or airman to assault a superior officer while the superior officer is performing their duties, the abettor can be punished with up to three years in jail and a fine.'","b'Abetment of an assault by An officer, soldier, sailor Or airman on his superior officer, when in the execution of his office'",b'3 Years + Fine',b'IPC_133'
"b'Description of IPC Section 134\nAccording to section 134 of Indian penal code, Whoever abets an assault by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, on any superior officer being in the execution of his office, shall, if such assault be committed in consequence of that abetment be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.\n\n\nIPC 134 in Simple Words\nIf someone encourages an officer, soldier, sailor, or airman to assault a superior officer while the superior officer is performing their duties, and the assault occurs as a result, the abettor can be punished with up to seven years in jail and a fine.'","b'Abetment of such assault, if the assault is committed'",b'7 Years + Fine',b'IPC_134'
"b'Description of IPC Section 135\nAccording to section 135 of Indian penal code, Whoever, abets the desertion of any officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.\n\n\nIPC 135 in Simple Words\nIf someone encourages or supports the desertion of an officer, soldier, sailor, or airman from the Indian Army, Navy, or Air Force, they can be punished with up to two years in jail, a fine, or both.'","b'Abetment of the desertion of an officer, soldier, sailor or airman'",b'2 Years or Fine or Both',b'IPC_135'
