domain,question,generated_answer,gold_answer,bleu,rouge-1,rouge-2,rouge-l,embedding_similarity,mini_lm_similarity
IPC,What is the title and extent of operation of the Indian Penal Code?,": The Bharatiya Nyaya Sanhita, 2023 extends to the whole of India.","The title is 'The Indian Penal Code' and its operation extends to the punishment of offences committed within India, and beyond but which by law may be tried within India. It also includes extension of the Code to extra-territorial offences.",4.639217426710408e-79,0.2608695613610586,0.0799999965680001,0.2608695613610586,0.7689826488494873,0.28974754
IPC,"Where does the operation of 'The Indian Penal Code' extend to, and does it include extra-territorial offences?",": The Indian Penal Code extends to the whole of India. Yes, it includes provisions for extra-territorial offences under certain circumstances, meaning it can apply to offences committed outside India by Indian citizens or persons on Indian ships and aircraft.","The operation of 'The Indian Penal Code' extends to the punishment of offences committed within India, and beyond but which by law may be tried within India. It also includes extension of the Code to extra-territorial offences.",3.047412056105138e-78,0.4615384565491124,0.1333333283413335,0.3999999950106509,0.9189871549606324,0.86426914
IPC,What does the Indian Penal Code stipulate about certain laws?,: Please be more specific about which laws you're interested in. The Indian Penal Code is a comprehensive document covering a wide range of offenses.,The Indian Penal Code specifies that certain laws are not to be affected by this Act.,0.0961509400391929,0.2999999952,0.1538461491124262,0.2499999952,0.8242119550704956,0.55749655
IPC,What does the Indian Penal Code say about the impact of this Act on certain laws?,: The Bharatiya Nyaya Sanhita (BNS) repeals and replaces the Indian Penal Code. It also affects other laws by modifying or repealing provisions that are inconsistent with it.,The Indian Penal Code specifies that certain laws are not to be affected by this Act.,0.0889386859930061,0.3636363590082644,0.0952380906462587,0.2727272680991736,0.8383673429489136,0.4600333
IPC,"What is 'Man', 'Woman', 'Person', and 'Public' according to the Indian Penal Code?",": According to the Bharatiya Nyaya Sanhita (BNS), ""Man"" and ""Woman"" generally refer to human beings of the respective genders. ""Person"" includes any Company or Association or body of persons, whether incorporated or not. ""Public"" includes any class of the public or any community.","These terms are defined in the 'General Explanations' section of the Indian Penal Code, however, the actual definitions are not provided in the provided text.",3.280006551333948e-155,0.1153846107470416,0.0312499953955085,0.1153846107470416,0.7974582314491272,0.19179061
IPC,"Where are the terms 'Man', 'Woman', 'Person', and 'Public' defined in the Indian Penal Code?",: I don't have access to the Indian Penal Code definitions.,These terms are defined in the 'General Explanations' section of the Indian Penal Code.,0.1623413635050561,0.3333333283680556,0.2608695603024575,0.3333333283680556,0.7680426836013794,0.5754765
IPC,What are the types of punishments stipulated in the Indian Penal Code?,": The Bharatiya Nyaya Sanhita (BNS) stipulates punishments including imprisonment, fines, and in some cases, capital punishment.","The types of punishments are mentioned in Chapter III of the Indian Penal Code, but the actual details are not provided in the given text.",1.0454165966698202e-231,0.162162157195033,0.0,0.162162157195033,0.8085482716560364,0.53109443
IPC,In which chapter of the Indian Penal Code are the types of punishments mentioned?,: Chapter III of the Indian Penal Code deals with the types of punishments.,The types of punishments are mentioned in Chapter III of the Indian Penal Code.,0.5828233954152654,0.7199999950079999,0.6153846103846154,0.559999995008,0.9323757886886596,0.9570199
IPC,What is meant by 'Communtation of sentence of death' and 'Communtation of sentence of imprisonment' in the Indian Penal Code?,": In the Bharatiya Nyaya Sanhita, ""commutation"" means substituting a punishment with a less severe one, such as changing a death sentence to imprisonment or reducing the length of imprisonment.","These terms refer to the reduction of the severity of a penalty or sentence of death or imprisonment. However, the specific details of these terms as used in the Indian Penal Code are not provided in the given text.",4.695371028883392e-155,0.3272727222876033,0.0,0.2181818131966943,0.8553731441497803,0.55753607
IPC,What do the terms 'Communtation of sentence of death' and 'Communtation of sentence of imprisonment' generally refer to?,": Commutation of a death sentence means substituting it with a less severe punishment, usually life imprisonment. Commutation of imprisonment means reducing the length or severity of the imprisonment sentence.",These terms generally refer to the reduction of the severity of a penalty or sentence of death or imprisonment.,6.887578243315168e-155,0.4444444395833333,0.1304347778449907,0.3333333284722222,0.8834739923477173,0.57469594
IPC,What does section 60 state about the sentence?,":Section 60 of the Bharatiya Nyaya Sanhita (BNS) addresses concealing a design to commit an offense punishable with imprisonment. It states that whoever, intending to facilitate or knowing it to be likely that he will thereby facilitate the commission of an offense punishable with imprisonment, voluntarily conceals, by any act or illegal omission, the existence of a design to commit such offense, or makes any representation which he knows to be false respecting such design shall be punished with imprisonment of the description.",Section 60 states that the sentence may be wholly or partly rigorous or simple in certain cases of imprisonment.,3.7173461782702265e-155,0.2222222184722222,0.0219780188044926,0.1666666629166667,0.8129005432128906,0.3667934
IPC,Which section states that the sentence may be wholly or partly rigorous or simple in certain cases of imprisonment?,: I don't have the ability to look for the specific section in the Bharatiya Nyaya Sanhita (BNS) that specifies whether imprisonment can be wholly or partly rigorous or simple.,Section 60 states that.,9.929306298309508e-232,0.0645161267845994,0.0,0.0645161267845994,0.7168720960617065,0.21552056
IPC,What does section 63 refer to?,":Please specify which legal code or act contains section 63. For example, are you asking about section 63 of the Bharatiya Nyaya Sanhita (BNS), or some other act?",Section 63 refers to the amount of fine.,3.6449283809870003e-155,0.1818181781450873,0.0,0.1212121175390267,0.7649660706520081,0.5955057
IPC,What does the amount of fine refer to in legal terms?,: A fine is a monetary penalty imposed by a court or other authority as a punishment for an offense.,"In legal terms, the amount of fine refers to Section 63.",1.0120710421309959e-231,0.0689655125326994,0.0,0.0689655125326994,0.7593075633049011,0.58243704
IPC,What does section 68 state about imprisonment?,": Section 68 of the BNS addresses the abuse of authority or fiduciary relationships to induce or seduce a woman, particularly by those in positions of power, public servants, or those managing institutions like jails or hospitals.",Section 68 states that imprisonment is to terminate on payment of fine.,3.505126972195164e-155,0.1904761863945578,0.0425531879040292,0.1904761863945578,0.7544139623641968,0.37222475
IPC,What does imprisonment terminate on according to section 68?,": According to section 68 of the Bharatiya Nyaya Sanhita, imprisonment terminates on payment of the amount.","According to section 68, imprisonment terminates on payment of fine.",0.388172465412544,0.6399999952000001,0.4999999953125,0.6399999952000001,0.8288196921348572,0.7743155
IPC,What does section 74 limit?,": Section 74 of the Indian Contract Act, 1872, limits the amount of damages that can be claimed in case of breach of contract involving pre-agreed damages, ensuring reasonable compensation is awarded, not exceeding the stipulated amount.",Section 74 limits the duration of solitary confinement.,4.3098210741911955e-155,0.2564102531492439,0.0930232530881558,0.2564102531492439,0.7374259233474731,0.4225258
IPC,What does section 75 refer to?,: Section 75 of the Bharatiya Nyaya Sanhita is not a valid section.,Section 75 refers to the enhanced punishment for certain offences under Chapter XII or Chapter XVII after a previous conviction.,3.6834063192648088e-155,0.2499999951757813,0.0645161242872011,0.2499999951757813,0.7507801651954651,0.36895928
IPC,What does enhanced punishment for certain offences under Chapter XII or Chapter XVII after a previous conviction refer to?,: It refers to a stricter penalty for repeat offenders committing offences under Chapter XII or Chapter XVII of the BNS.,This refers to Section 75.,4.234401506515187e-155,0.1599999968,0.0833333305555556,0.1599999968,0.7136001586914062,0.39106125
IPC,What does section 84 refer to?,:It refers to an act of a person of unsound mind.,Section 84 refers to the act of a person of unsound mind.,0.6115380576901023,0.7619047569160999,0.6666666616780046,0.7619047569160999,0.9149169921875,0.65884024
IPC,What is the term for the act of a person of unsound mind in legal terminology?,: Insanity.,The act of a person of unsound mind is referred to as Section 84 in legal terminology.,9.327292587886388e-234,0.0,0.0,0.0,0.6175863146781921,0.25534675
IPC,What does section 88 refer to?,": I need to know which document or code the user is referring to. Please specify whether you are asking about section 88 of the Indian Penal Code (IPC), the Bharatiya Nyaya Sanhita (BNS), or some other legal document.",The text does not provide specific details on what section 88 refers to.,3.890077855291265e-155,0.1276595704662744,0.0399999963520003,0.1276595704662744,0.808457612991333,0.48874182
