"domain","question","generated_answer","gold_answer","bleu","rouge-1","rouge-2","rouge-l","embedding_similarity"
"IPC","What does the Bhartiya nayaya  say about the impact of this Act on certain laws?",": The Bharatiya Nyaya Sanhita repeals and replaces the Indian Penal Code.","The Bhartiya nayaya  specifies that certain laws are not to be affected by this Act.","9.05853946789781e-232","0.07407406913580279","0.0","0.07407406913580279","0.7818428874015808"
"IPC","Where are the terms 'Man', 'Woman', 'Person', and 'Public' defined in the Bhartiya nayaya ?",": I do not have the ability to search for the definitions of 'Man', 'Woman', 'Person', and 'Public' in the Bharatiya Nyaya Sanhita.","These terms are defined in the 'General Explanations' section of the Bhartiya nayaya .","4.2275552407847875e-155","0.18181817719008275","0.05882352484429102","0.12121211658402223","0.8308101296424866"
"IPC","What is the legal consequence for a person who attempts to pick someone's pocket but finds it empty?",": According to the Bharatiya Nyaya Sanhita, the punishment for attempting to commit theft, even if the pocket is empty, would be imprisonment or a fine, or both, as determined by the court.","The person is guilty under section 511.","9.594503055152632e-232","0.05714285394285733","0.0","0.05714285394285733","0.7021419405937195"
"IPC","What is the maximum term for simple imprisonment as mentioned in the text?",": I am sorry, but I cannot find the answer to your question using the available tools.","One year","0","0.0","0.0","0.0","0.5024783611297607"
"IPC","What is the duration of simple imprisonment mentioned in the text that has the maximum limit?",": I am unable to answer the question as it requires searching the Bharatiya Nyaya Sanhita store, but I do not have the ability to determine the maximum limit of simple imprisonment from the available tools.","One year","0","0.0","0.0","0.0","0.5346870422363281"
"IPC","When did the change to a possible one year imprisonment term come into effect?",": This question is too vague to answer. Please provide more context, specifying the law or section you are referring to.","3-2-2013","0","0.0","0.0","0.0","0.5730743408203125"
"IPC","What significant legal change happened on 3-2-2013?",": The Criminal Law (Amendment) Ordinance, 2013 was promulgated.","The change to a possible one year imprisonment term came into effect","9.594503055152632e-232","0.09523809034013632","0.0","0.09523809034013632","0.6570406556129456"
"IPC","What was substituted by Act 26 of 1955, s. 117 and the Sch.?",": I am unable to answer this question, as it requires access to specific legal amendment details which I do not currently possess.","Transportation","0","0.0","0.0","0.0","0.4574384391307831"
"IPC","What was replaced with by Act 26 of 1955, s. 117 and the Sch.?",": I am unable to answer this question due to a lack of context and the inability to look up the specifics of the mentioned Act and section.","Transportation","0","0.0","0.0","0.0","0.4473447799682617"
"IPC","When did the substitution for 'transportation' come into effect?",": Please provide more context. Which law or legal document are you referring to?","1-1-1956","0","0.0","0.0","0.0","0.5409064888954163"
"IPC","What happened on 1-1-1956?",": I am sorry, I do not have information about events that happened on January 1, 1956. I am designed to provide information about Indian law.","The substitution for certain words came into effect","0","0.0","0.0","0.0","0.6107895970344543"
"IPC","What does it mean when the third exception to defamation is related to the conduct of any person touching any public question, and it is not defamation to express in good faith any opinion whatever respecting the conduct of any person touching any public question, and respecting his character, so far as his character appears in that conduct, and no further?",": The third exception to defamation protects fair and good faith criticism of a person's conduct concerning public issues, limited to their character as it appears in that conduct.","It means the third exception to defamation is related to the behavior or actions of a person in the context of a public issue. It considers it not defamation if someone honestly expresses their opinion about that person's actions and their character as it appears in those actions.","0.179348491607282","0.5079365030385488","0.2432432385390797","0.44444443954648527","0.9274666905403137"
"IPC","Is it defamation to publish a true report of the proceedings of a Court of Justice?",": No, it is not defamation to publish a substantially true report of the proceedings of a Court of Justice.","No, it is not defamation to publish substantially true report of the proceedings of a Court of Justice, or of the result of any such proceedings.","0.5702790023573204","0.8108108058436816","0.6976744136722554","0.8108108058436816","0.9617334008216858"
"IPC","Is it considered defamation to publish a substantially true report of the proceedings of a Court of Justice, or of the result of any such proceedings?",": No, it is not considered defamation.","No, it is not considered defamation.","0.8633400213704505","0.9230769181065088","0.9090909041322315","0.9230769181065088","0.9440922737121582"
"IPC","Is it defamation to express an opinion on the merits of a case decided in Court?",": No, expressing an opinion on the merits of a case decided in court is not defamation, provided the opinion is fair and without malicious intent.","No, it is not defamation to express in good faith any opinion whatever respecting the merits of any case, civil or criminal, which has been decided by a Court of Justice.","2.9025661383446737e-78","0.38461537968195275","0.10909090413223163","0.2307692258357989","0.9124687314033508"
"IPC","Can one express in good faith any opinion whatever respecting the merits of any case, civil or criminal, which has been decided by a Court of Justice without it being defamation?",": Yes, expressing a good faith opinion respecting the merits of a decided case, whether civil or criminal, typically does not constitute defamation.","Yes, it is not defamation to express such an opinion.","4.535506046608914e-155","0.2499999957031251","0.0","0.1874999957031251","0.8277965784072876"
"IPC","What does the sixth exception of defamation state?",": I am sorry, but I do not have access to the details of exceptions to defamation.","The sixth exception of defamation states that it is not defamation to express in good faith any opinion respecting the merits of any performance which its author has submitted to the judgment of the public, or respecting the character of the author so far as his character appears in such performance, and no further.","7.89494705935314e-156","0.18181817785123974","0.029850742633103586","0.14545454148760342","0.7861844897270203"
"IPC","What does it mean to express in good faith any opinion respecting the merits of any performance which its author has submitted to the judgment of the public, or respecting the character of the author so far as his character appears in such performance, and no further?",": It means offering an honest and genuine opinion about a work presented for public assessment, or about the author's character as reflected in that work, without any malicious intent to defame.","This is the sixth exception of defamation.","8.844844403089351e-232","0.05263157594182843","0.0","0.05263157594182843","0.6866014003753662"
"IPC","What does the explanation of the sixth exception of defamation suggest?",": I do not have the ability to provide the explanation of the sixth exception of defamation.","The explanation suggests that a performance may be submitted to the judgment of the public either expressly or by acts on the part of the author which imply such submission to the judgment of the public.","2.4822750473438257e-155","0.19999999545000013","0.04444443986172887","0.14999999545000015","0.777387797832489"
"IPC","What does a performance being submitted to the judgment of the public, either expressly or by implication, suggest according to the defamation exceptions?",": It is not defamation to express in good faith any opinion whatever respecting the merits of any performance which its author has submitted to the judgment of the public, or respecting the character of the author so far as his character appears in such performance, and otherwise.","This suggests the explanation of the sixth exception of defamation.","3.285299618071645e-155","0.13636363338842983","0.03703703425925947","0.09090908793388439","0.7232524156570435"
"IPC","What is an example of a person submitting their work to the judgment of the public?",": An author publishing a book.","An example of this is a person who publishes a book, as they are submitting that book to the judgment of the public.","6.333119046860277e-156","0.23076922721893492","0.0","0.23076922721893492","0.7679533958435059"
"IPC","What is the act of publishing a book an example of?",": Freedom of speech and expression.","Publishing a book is an example of a person submitting their work to the judgment of the public.","2.3987582773118944e-232","0.09523809115646274","0.0","0.09523809115646274","0.6740943193435669"
"IPC","What is considered a defamatory opinion in the context of the sixth exception?",": Please provide the context of the sixth exception you are referring to. The definition of defamatory opinion depends on the specific legal context and relevant statutes.","A defamatory opinion in this context would be if someone says “I am not surprised that Z's book is foolish and indecent, for he is a weak man and a libertine.” This is not within the exception as it is not solely based on the work but also on personal character.","2.268601403077942e-155","0.21212120758034905","0.05263157444598377","0.18181817727731878","0.8614498972892761"
"IPC","What opinion of a person's work is not considered defamation according to the sixth exception?",": According to the sixth exception, expressing an opinion in good faith about the merits of a performance that its author has submitted to the judgment of the public is not defamation.","An opinion like “Z’s book is foolish; Z must be a weak man. Z's book is indecent; Z must be a man of impure mind” is not considered defamation if said in good faith. This is because it respects Z's character only so far as it appears in Z's book, and no further.","9.111984256635744e-79","0.2686567116061484","0.0769230721893494","0.20895521906883505","0.8446085453033447"
"IPC","What kind of opinion about Z's book can be expressed in good faith without it being considered defamation?",": An opinion about Z's book expressed in good faith, based on the book's content, and without malice, is permissible.","An opinion like “Z’s book is foolish; Z must be a weak man. Z's book is indecent; Z must be a man of impure mind” is not considered defamation. It is because it respects Z's character only so far as it appears in Z's book, and no further.","7.485797598102762e-79","0.24999999540816334","0.0645161247814779","0.24999999540816334","0.8675384521484375"
"IPC","What is the seventh exception of defamation?",": I am unable to answer as I do not have access to the details of the exceptions to defamation.","The seventh exception of defamation is the censure passed in good faith by a person having lawful authority over another. This can include a judge censuring the conduct of a witness, a department head censuring subordinates, a parent censuring a child in front of their siblings, a schoolmaster censuring a pupil, a master censuring a servant for poor performance, or a banker censuring a cashier for their conduct.","9.726100700432779e-233","0.09836065186777765","0.0","0.06557376662187607","0.7319125533103943"
"IPC","What does the seventh exception of defamation include and who can exercise it?",": The seventh exception of defamation covers a caution made in good faith by one person to another, for the good of that other person or of some other person, or for the public good. Anyone who makes such a caution in good faith can exercise this exception.","The seventh exception of defamation includes the censure passed in good faith by a person having lawful authority over another. It can be exercised by a judge censuring the conduct of a witness, a department head censuring subordinates, a parent censuring a child in front of their siblings, a schoolmaster censuring a pupil, a master censuring a servant for poor performance, or a banker censuring a cashier for their conduct.","0.09152891695992298","0.379746830578433","0.1296296248371058","0.3291139191860279","0.8758590817451477"
"IPC","What is the offence under section 286?",": Negligent conduct with respect to explosive substance.","Negligent conduct with respect to explosive substance.","0.8633400213704505","0.9333333283555556","0.9230769181065088","0.9333333283555556","0.9349242448806763"
"IPC","Which section is related to the offence of negligent conduct with respect to explosive substance?",": Section 288 of the Bharatiya Nyaya Sanhita addresses negligent conduct with respect to explosive substances, prescribing punishment for acts done rashly or negligently that endanger human life or omit precautions against danger from explosive substances.","Section 286","7.337741777064293e-232","0.055555554506172854","0.0","0.055555554506172854","0.5108453631401062"
"IPC","What is defined by Section 299?",": I am sorry, I cannot fulfill this request. The available tools do not have the functionality to search by section number. I can only search by keywords.","Culpable homicide","0","0.0","0.0","0.0","0.3970995247364044"
"IPC","Which section defines culpable homicide?",": I don't have the ability to directly look up the definition of culpable homicide in the Bharatiya Nyaya Sanhita.","Section 299","0","0.0","0.0","0.0","0.49430084228515625"
"IPC","What kind of offense is outlined in Section 300?",": The question is related to IPC, which is now BNS(Bharatiya Nyaya Sanhita). Section 300 of the Indian Penal Code (IPC) defines the offense of murder.","Murder","7.544641259221007e-232","0.0","0.0","0.0","0.4235934019088745"
