"domain","question","generated_answer","gold_answer","bleu","rouge-1","rouge-2","rouge-l","embedding_similarity","question_id"
"IndianConstitution","What is the description of Part b'Part XXI' - Article b'\nArticle\n372\n' - b'Continuance in force of existing laws and their adaptation'? Please provide the full text of this article.",":  Article 372 of the Indian Constitution addresses the ""Continuance in force of existing laws and their adaptation."" It states that existing laws in force before the commencement of the Constitution shall continue to be in force until altered or repealed or amended by a competent Legislature or other competent authority.","b'\n(1) Notwithstanding the repeal by this Constitution of the enactments referred to in article 395 but subject to the other provisions of this Constitution, all the law in force in the territory of India immediately before the commencement of this Constitution shall continue in force therein until altered or repealed or amended by a competent Legislature or other competent authority.\n(2) For the purpose of bringing the provisions of any law in force in the territory of India into accord with the provisions of this Constitution, the President may by order 3 make such adaptations and modifications of such law, whether by way of repeal or amendment, as may be necessary or expedient, and provide that the law shall, as from such date as may be specified in the order, have effect subject to the adaptations and modifications so made, and any such adaptation or modification shall not be questioned in any court of law.\n(3) Nothing in clause (2) shall be deemed\xe2\x80\x94\n(a) to empower the President to make any adaptation or modification of any law after the expiration of 4 three years from the commencement of this Constitution; or\n(b) to prevent any competent Legislature or other competent authority from repealing or amending\nany law adapted or modified by the President under the said clause.\nExplanation I.\xe2\x80\x94The expression \xe2\x80\x9claw in force\xe2\x80\x9d in this article shall include a law passed or made by a Legislature or other competent authority in the territory of India before the commencement of this Constitution and not previously repealed, notwithstanding that it or parts of it may not be then in operation either at all or in particular areas.\nExplanation II.\xe2\x80\x94Any law passed or made by a Legislature or other competent authority in the territory of India which immediately before the commencement of this Constitution had extra-territorial effect as well as effect in the territory of India shall, subject to any such adaptations and modifications as aforesaid, continue to have such extra-territorial effect.\nExplanation III.\xe2\x80\x94Nothing in this article shall be construed as continuing any temporary law in force beyond the date fixed for its expiration or the date on which it would have expired if this Constitution had not come into force.\nExplanation IV.\xe2\x80\x94An Ordinance promulgated by the Governor of a Province under section 88 of the Government of India Act, 1935, and in force immediately before the commencement of this Constitution shall, unless withdrawn by the Governor of the corresponding State earlier, cease to operate at the expiration of six weeks from the first meeting after such commencement of the Legislative Assembly of that State functioning under clause (1) of article 382, and nothing in this article shall be construed as continuing any such Ordinance in force beyond the said period.\n\xc2\xa0\n\xc2\xa0\n'","0.00015305401062817118","0.24038461245978182","0.10994764182108498","0.2307692278443972","0.9092912673950195","Part b'Part XXI' - Article b'\nArticle\n372\n'"
"IndianConstitution","What is the description of Part b'Part XXI' - Article b'\nArticle\n372A\n' - b'Power of the President to adapt laws.'? Please provide the full text of this article.",": Article 372A of the Indian Constitution deals with the power of the President to adapt laws. The President may by order made before the first day of November, 1957, make such adaptations and modifications of the law, whether by way of repeal or amendment, as may be necessary or expedient, to bring the provisions of any law in force in India into accord with the provisions of this Constitution as amended by that Act.","b'\n(1) For the purposes of bringing the provisions of any law in force in India or in any part thereof, immediately before the commencement of the Constitution (Seventh Amendment) Act, 1956, into accord with the provisions of this Constitution as amended by that Act, the President may by order2 made before the first day of November, 1957, make such adaptations and modifications of the law, whether by way of repeal or amendment, as may be necessary or expedient, and provide that the law shall, as from such date as may be specified in the order, have effect subject to the\nadaptations and modifications so made, and any such adaptation or modification shall not be questioned in any court of law.\n(2) Nothing in clause (1) shall be deemed to prevent a competent Legislature or other competent authority from repealing or amending any law adapted or modified by the President under the said clause.\n'","0.22826085656925307","0.5673758818691212","0.45497629891601726","0.45390070456415677","0.9638285636901855","Part b'Part XXI' - Article b'\nArticle\n372A\n'"
"IndianConstitution","What is the description of Part b'Part XXI' - Article b'\nArticle\n373\n' - b'Power of President to make order in respect of persons under preventive detention in certain cases'? Please provide the full text of this article.",": I am unable to provide the full text of Article 373 with the available tools, but it relates to the power of the President to make orders regarding persons under preventive detention in certain cases.","b'\nUntil provision is made by Parliament under clause (7) of article 22, or until the expiration of one year from the commencement of this Constitution, whichever is earlier, the said article shall have effect as if for any reference to Parliament in clauses (4) and (7) thereof there were substituted a reference to the President and for any reference to any law made by Parliament in those clauses there were substituted a reference to an order made by the President.\n'","1.578303414448867e-155","0.15189872946643182","0.03960395586707238","0.12658227377022932","0.860244870185852","Part b'Part XXI' - Article b'\nArticle\n373\n'"
"IndianConstitution","What is the description of Part b'Part XXI' - Article b'\nArticle\n374\n' - b'Provisions as to Judges of the Federal Court and proceedings pending in the Federal Court or before His Majesty in Council'? Please provide the full text of this article.",":  Article 374 of the Indian Constitution addresses the provisions regarding Judges of the Federal Court and proceedings pending in the Federal Court or before His Majesty in Council.","b'\n\n(1) The Judges of the Federal Court holding office immediately before the commencement of this Constitution shall, unless they have elected otherwise, become on such commencement the Judges of the Supreme Court and shall thereupon be entitled to such salaries and allowances and to such rights in respect of leave of absence and pension as are provided for under article 125 in respect of the Judges of the Supreme Court.\n(2) All suits, appeals and proceedings, civil or criminal, pending in the Federal Court at the commencement of this Constitution shall stand removed to the Supreme Court, and the Supreme Court shall have jurisdiction to hear and determine the same, and the judgments and orders of the Federal Court delivered or made before the commencement of this Constitution shall have the same force and effect as if they had been delivered or made by the Supreme Court.\n(3) Nothing in this Constitution shall operate to invalidate the exercise of jurisdiction by His Majesty in Council to dispose of appeals and petitions from, or in respect of, any judgment, decree or order of any court within the territory of India in so far as the exercise of such jurisdiction is authorised by law, and any order of His Majesty in Council made on any such appeal or petition after the commencement of this Constitution shall for all purposes have effect as if it were an order or decree made by the Supreme Court in the exercise of the jurisdiction conferred on such Court by this Constitution.\n(4) On and from the commencement of this Constitution the jurisdiction of the authority functioning as the Privy Council in a State specified in Part B of the\xc2\xa0First Schedule to entertain and dispose of appeals and petitions from or in respect of any judgment, decree or order of any court within that State shall cease, and all appeals and other proceedings pending before the said authority at such commencement shall be transferred to, and disposed of by, the Supreme Court.\n(5) Further provision may be made by Parliament by law to give effect to the provisions of this article.\n\n'","3.2422171868093573e-06","0.19875776161567846","0.08391608232065141","0.19875776161567846","0.8625175356864929","Part b'Part XXI' - Article b'\nArticle\n374\n'"
"IndianConstitution","What is the description of Part b'Part XXI' - Article b'\nArticle\n375\n' - b'Courts, authorities and officers to continue to function subject to the provisions of the Constitution'? Please provide the full text of this article.","Agent stopped due to max iterations.","b'\n\nAll courts of civil, criminal and revenue jurisdiction, all authorities and all officers, judicial, executive and ministerial, throughout the territory of India, shall continue to exercise their respective functions subject to the provisions of this Constitution.\n\n'","6.542132491047196e-234","0.05555555277777792","0.0","0.05555555277777792","0.6226980686187744","Part b'Part XXI' - Article b'\nArticle\n375\n'"
"IndianConstitution","What is the description of Part b'Part XXI' - Article b'\nArticle\n376\n' - b'Provisions as to Judges of High Courts'? Please provide the full text of this article.",":Article 376 of the Indian Constitution pertains to the provisions regarding Judges of High Courts. Specifically, it addresses the transition of judges from High Courts in Provinces before the Constitution's commencement to High Courts in corresponding States after the Constitution came into effect. It ensures their salaries, allowances, leave, and pension rights are maintained as per Article 221. It also addresses the eligibility of non-citizen judges for appointment.","b'\n(1) Notwithstanding anything in clause (2) of article 217, the Judges of a High Court in any Province holding office immediately before the commencement of this Constitution shall, unless they have elected otherwise, become on such commencement the Judges of the High Court in the corresponding State, and shall thereupon be entitled to such salaries and allowances and to such rights in respect of leave of absence and pension as are provided for under article 221 in respect of the Judges of such High Court. Any such Judge shall, notwithstanding that he is not a citizen of India, be eligible for appointment as Chief Justice of such High Court, or as Chief Justice or other Judge of any other High Court.\n(2) The Judges of a High Court in any Indian State corresponding to any State specified in Part B of the First Schedule holding office immediately before the commencement of this Constitution shall, unless they have elected otherwise, become on such commencement the Judges of the High Court in the State so specified and shall, notwithstanding anything in clauses (1) and (2) of article 217 but subject to the proviso to clause (1) of that article, continue to hold office until the expiration of such period as the President may by order determine.\n(3) In this article, the expression \xe2\x80\x9cJudge\xe2\x80\x9d does not include an acting Judge or an additional Judge.\n'","6.596800376000523e-156","0.24358973923405658","0.04999999612812531","0.21794871359303095","0.9020893573760986","Part b'Part XXI' - Article b'\nArticle\n376\n'"
"IndianConstitution","What is the description of Part b'Part XXI' - Article b'\nArticle\n377\n' - b'Provisions as to Comptroller and Auditor-General of India'? Please provide the full text of this article.",":Article 377 of the old IPC dealt with unnatural offences. Please clarify if you are asking about the current provisions in the Bharatiya Nyaya Sanhita (BNS) that correspond to the previous IPC Article 377, or if you have a question about the Comptroller and Auditor-General of India.","b'\nThe Auditor-General of India holding office immediately before the commencement of this Constitution shall, unless he has elected otherwise, become on such commencement the Comptroller and Auditor-General of India and shall thereupon be entitled to such salaries and to such rights in respect of leave of absence and pension as are provided for under clause (3) of article 148 in respect of the Comptroller and Auditor-General of India and be entitled to continue to hold office until the expiration of his term of office as determined under the provisions which were applicable to him immediately before such commencement.\n'","0.045983804552070205","0.2105263109894738","0.0944881844478891","0.14736841625263175","0.8706265091896057","Part b'Part XXI' - Article b'\nArticle\n377\n'"
"IndianConstitution","What is the description of Part b'Part XXI' - Article b'\nArticle\n378\n' - b'Provisions as to Public Service Commissions'? Please provide the full text of this article.",": Article 378 does not contain the information about Provisions as to Public Service Commissions.","b'\n(1) The members of the Public Service Commission for the Dominion of India holding office immediately before the commencement of this Constitution shall, unless they have elected otherwise, become on such commencement the members of the Public Service Commission for the Union and shall, notwithstanding anything in clauses (1) and (2) of article 316 but subject to the proviso to clause (2) of that article, continue to hold office until the expiration of their term of office as determined under the rules which were applicable immediately before such commencement to such members.\n(2) The Members of a Public Service Commission of a Province or of a Public Service Commission serving the needs of a group of Provinces holding office immediately before the commencement of this Constitution shall, unless they have elected otherwise, become on such commencement the members of the Public Service Commission for the corresponding State or the members of the Joint State Public Service Commission serving the needs of the corresponding States, as the case may be, and shall, notwithstanding anything in clauses (1) and (2) of article 316 but subject to the proviso to clause (2) of that article, continue to hold office until the expiration of their term of office as determined under the rules which were applicable immediately before such commencement to such members.\n'","3.1844221448676327e-161","0.11235954775912138","0.015624998051758057","0.06741572753440234","0.8253597021102905","Part b'Part XXI' - Article b'\nArticle\n378\n'"
"IndianConstitution","What is the description of Part b'Part XXI' - Article b'\nArticle\n378A\n' - b'Special provision as to duration of Andhra Pradesh Legislative Assembly'? Please provide the full text of this article.",":  Article 378A deals with the special provision as to the duration of the Andhra Pradesh Legislative Assembly. The provided text also indicates that Articles 379 to 387 have been omitted.","b'\n\nNotwithstanding anything contained in article 172, the Legislative Assembly of the State of Andhra Pradesh as constituted under the provisions of sections 28 and 29 of the States Reorganisation Act, 1956, shall, unless sooner dissolved, continue for a period of five years from the date referred to in the said section 29 and no longer and the expiration of the said period shall operate as a dissolution of that Legislative Assembly.\n\n\n'","1.723705544978315e-155","0.23376622913813466","0.06185566583058804","0.18181817719008275","0.8807627558708191","Part b'Part XXI' - Article b'\nArticle\n378A\n'"
"IndianConstitution","What is the description of Part b'Part XXI' - Article b'\nArticle\n379\n' - b'Provisions as to provisional Parliament and the Speaker and Deputy Speaker thereof'? Please provide the full text of this article.","Agent stopped due to max iterations.","b'\nOmitted by the Constitution (Seventh Amendment) Act, 1956, s. 29 and Sch. (w.e.f. 1-11-1956).\n'","9.874580240368857e-233","0.0","0.0","0.0","0.64391028881073","Part b'Part XXI' - Article b'\nArticle\n379\n'"
