"domain","question","generated_answer","gold_answer","bleu","rouge-1","rouge-2","rouge-l","embedding_similarity"
"CRPC","What is the short title, extent and commencement referred to in the Code of Criminal Procedure, 1973?",": According to Section 1 of the Code of Criminal Procedure, 1973:  1.  Short title: This Act may be called the Code of Criminal Procedure, 1973. 2.  Extent: It extends to the whole of India. 3.  Commencement: It shall come into force on the 1st day of April, 1974.","Section 1 of Chapter I PRELIMINARY","9.095680679161503e-79","0.14285714040816327","0.08163265122865478","0.14285714040816327","0.7199028730392456"
"CRPC","Which section of the Code of Criminal Procedure, 1973 refers to the short title, extent and commencement?",": Section 1 of the Code of Criminal Procedure, 1973 refers to the short title, extent, and commencement.","Section 1 of Chapter I PRELIMINARY","1.9496467388840193e-78","0.2727272687603306","0.18181817830578514","0.2727272687603306","0.6984589695930481"
"CRPC","What does Section 2 of the Code of Criminal Procedure, 1973 define?",": Section 2 of the Code of Criminal Procedure, 1973 defines various terms used throughout the code, including:     Section 2(a) ""bailable offence"" means an offence which is shown as bailable in the First Schedule, or which is made bailable by any other law for the time being in force; and ""non-bailable offence"" means any other offence;    Section 2(c) ""cognizable offence"" means an offence for which, and ""cognizable case"" means a case in which, a police officer may, in accordance with the First Schedule or under any other law for the time being in force, arrest without warrant;    Section 2(h) ""investigation"" includes all the proceedings under this Code for the collection of evidence conducted by a police officer or by any person (other than a Magistrate) who is authorised by a Magistrate in this behalf;    Section 2(l) ""non-cognizable offence"" means an offence for which, and ""non-cognizable case"" means a case in which, a police officer has no authority to arrest without warrant.","Definitions","0","0.0","0.0","0.0","0.2896239459514618"
"CRPC","What is defined in Section 2 of the Code of Criminal Procedure, 1973?",": I do not have access to the specific definitions listed in Section 2 of the Code of Criminal Procedure, 1973. To find this information, you can consult a copy of the Code of Criminal Procedure, 1973, or search online legal databases that provide access to Indian legal statutes.","Definitions","6.720628411503338e-232","0.0","0.0","0.0","0.386749804019928"
"CRPC","What is the purpose of Section 3 in the Code of Criminal Procedure, 1973?",": Section 3 of the Code of Criminal Procedure, 1973, clarifies how references to offenses should be understood when laws mention offenses under the Indian Penal Code (IPC) or other special or local laws. Essentially, it ensures that any powers conferred or duties imposed on officers, courts, or individuals are exercised and performed appropriately, aligning with the corresponding functions as if the CrPC provisions were directly incorporated into those other laws. This section aims to avoid ambiguity and ensure consistent application of procedural rules across different statutes dealing with offenses.","Construction of references","6.834165300447784e-232","0.05263157818905818","0.0","0.05263157818905818","0.5777172446250916"
"CRPC","Which section of the Code of Criminal Procedure, 1973 is about 'Construction of References'?",": I am unable to answer this question.","Section 3","0","0.0","0.0","0.0","0.4783110022544861"
"CRPC","What is regulated under Section 4 in the Code of Criminal Procedure, 1973?",": Section 4 of the Code of Criminal Procedure, 1973, stipulates that all offences under the Indian Penal Code (IPC) shall be investigated, inquired into, tried, and otherwise dealt with according to the provisions of the CrPC. Additionally, offences under any other law shall also be investigated, inquired into, tried, and otherwise dealt with according to the same provisions, but subject to any enactment for the time being in force regulating the manner or place of investigating, inquiring into, trying or otherwise dealing with such offences. In essence, CrPC provides the default procedure for all criminal offences in India unless a specific law dictates otherwise.","Trial of offences under the Indian Penal Code and other laws","0.039677157400194424","0.2337662313172542","0.09900989920596022","0.2337662313172542","0.771546483039856"
"CRPC","Under which section in the Code of Criminal Procedure, 1973 is the trial of offences under the Indian Penal Code and other laws regulated?",": While I cannot pinpoint a single section number without access to the Code of Criminal Procedure, 1973, the entire code regulates the trial of offences under the Indian Penal Code and other laws. Different sections deal with different aspects of the trial, such as the investigation, arrest, framing of charges, recording of evidence, and pronouncement of judgment.","Section 4","6.3442617892539425e-232","0.0","0.0","0.0","0.5865800976753235"
"CRPC","What is the subject of Section 5 in the Code of Criminal Procedure, 1973?",": Section 5 of the Code of Criminal Procedure, 1973, is a saving clause. It provides that nothing in the CrPC shall affect any special or local law in force, or any special jurisdiction or power, or any special form of procedure prescribed by any other law for the time being in force.","Saving","6.573479617511883e-232","0.0","0.0","0.0","0.37702369689941406"
"CRPC","Which section of the Code of Criminal Procedure, 1973 is about 'Saving'?",": Section 484 of the Code of Criminal Procedure, 1973 is about 'Saving'.","Section 5","9.109159947227211e-232","0.14285714040816327","0.0","0.14285714040816327","0.5869438052177429"
"CRPC","What does Chapter II of the Code of Criminal Procedure, 1973 cover?",": Chapter II of the Code of Criminal Procedure, 1973 covers the constitution of criminal courts and offices.","CONSTITUTION OF CRIMINAL COURTS AND OFFICES","0.23588448106534202","0.0","0.0","0.0","0.7939460873603821"
"CRPC","Which chapter of the Code of Criminal Procedure, 1973 covers the CONSTITUTION OF CRIMINAL COURTS AND OFFICES?",": Chapter II of the Code of Criminal Procedure, 1973 covers the CONSTITUTION OF CRIMINAL COURTS AND OFFICES.","Chapter II","4.017758378857155e-155","0.2222222202469136","0.11111111006172841","0.2222222202469136","0.56410813331604"
"CRPC","What does Section 6 of the Code of Criminal Procedure, 1973 classify?",": Section 6 of the Code of Criminal Procedure, 1973 classifies Criminal Courts into the following classes: (1) Courts of Session; (2) Courts of Judicial Magistrates of the first class and, in any metropolitan area, Metropolitan Magistrate; (3) Courts of Judicial Magistrates of the second class; and (4) Executive Magistrates","Classes of Criminal Courts","3.1237148326586e-155","0.15789473495844877","0.08888888764444446","0.15789473495844877","0.6464235782623291"
"CRPC","What does the Code of Criminal Procedure, 1973, in Section 6, classify as Classes of Criminal Courts?",": According to Section 6 of the Code of Criminal Procedure, 1973, the Classes of Criminal Courts are:  1.  The High Courts 2.  Courts of Session 3.  Judicial Magistrates of the first class and, in any metropolitan area, Metropolitan Magistrates; 4.  Judicial Magistrates of the second class; and 5.  Executive Magistrates","Section 6","2.3393973968465886e-155","0.10256410159105854","0.04347826044423442","0.10256410159105854","0.5805342793464661"
"CRPC","What is discussed in Section 7 of the Code of Criminal Procedure, 1973?",": Section 7 of the Code of Criminal Procedure, 1973, discusses the territorial divisions called districts and sessions divisions. It states that (1) Every State shall be a sessions division or shall consist of sessions divisions; and (2) Every sessions division shall, for the purposes of this Code, be a district or consist of districts. The State Government may, after consultation with the High Court, alter the limits or the number of such divisions and districts. The State Government may, after consultation with the High Court, divide any district into sub-divisions and may alter the limits or the number of such sub-divisions.","Territorial divisions","1.6295679424334407e-155","0.03636363566280992","0.0","0.03636363566280992","0.5937430262565613"
"CRPC","Which section of the Code of Criminal Procedure, 1973 discusses territorial divisions?",": I am sorry, I cannot answer this question.","Section 7","0","0.0","0.0","0.0","0.4526269733905792"
"CRPC","What is the focus of Section 8 in the Code of Criminal Procedure, 1973?",": Section 8 of the Code of Criminal Procedure, 1973, concerns the Metropolitan area.","Metropolitan areas","8.972141065609098e-232","0.14285714040816327","0.0","0.14285714040816327","0.4519757032394409"
"CRPC","Which section of the Code of Criminal Procedure, 1973 is focused on metropolitan areas?",": I do not have access to the Code of Criminal Procedure, 1973, and thus cannot provide the specific section number. However, you should look for sections pertaining to the definition of ""metropolitan area"" and the powers and functions of magistrates in such areas. Typically, the definition of ""metropolitan area"" is provided early in the Code, and provisions regarding courts and magistrates in metropolitan areas would be found in the chapters dealing with the constitution of criminal courts and their powers.","Section 8","5.8509496409345615e-232","0.0","0.0","0.0","0.5196930766105652"
"CRPC","What does Section 9 in the Code of Criminal Procedure, 1973 relate to?",": Section 9 of the Code of Criminal Procedure, 1973, pertains to the establishment of Courts of Session.","Court of Session","3.918477812555336e-155","0.23529411474048442","0.10526315601108036","0.23529411474048442","0.6264814734458923"
