"domain","question","generated_answer","gold_answer","bleu","rouge-1","rouge-2","rouge-l","embedding_similarity","question_id"
"IndianConstitution","What is the description of Part b'Part I' - Article b'\nArticle\n1\n' - b'Name and Territory of the Union'? Please provide the full text of this article.",": Article 1 of the Indian Constitution states:  ""1. Name and territory of the Union. —(1) India, that is Bharat, shall be a Union of States.  [(2) The States and the territories thereof shall be as specified in the First Schedule.]  (3) The territory of India shall comprise—  (a) the territories of the States; [(b) the Union territories specified in the First Schedule; and]""","b'\n(1) India, that is Bharat, shall be a Union of States.\n(2) The States and the territories thereof shall be as specified in the First Schedule.\n(3) The territory of India shall comprise \xe2\x80\x94\n(a) the territories of the States;\n(b) the Union territories specified in the First Schedule; and\n(c) such other territories as may be acquired.\n\xc2\xa0\n'","0.5851282095405562","0.6133333283555555","0.5904761854875283","0.6133333283555555","0.9072840809822083","Part b'Part I' - Article b'\nArticle\n1\n'"
"IndianConstitution","What is the description of Part b'Part I' - Article b'\nArticle\n2\n' - b'Admission or establishment of new States'? Please provide the full text of this article.",": Article 2 of the Indian Constitution states:  ""2. Admission or establishment of new States. [2A. Sikkim to be associated with the Union. —Omitted.] 3. Formation of new States and alteration of areas, boundaries or names of existing States. 4. Laws made under articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters.""","b'\nParliament may by law admit into the Union, or establish, new States on such terms and conditions as it thinks fit.\n'","3.3888775703308343e-155","0.14492753188825888","0.0238095200595244","0.14492753188825888","0.8565921187400818","Part b'Part I' - Article b'\nArticle\n2\n'"
"IndianConstitution","What is the description of Part b'Part I' - Article b'\nArticle\n3\n' - b'Formation of new States and alteration of areas, boundaries or names of existing States'? Please provide the full text of this article.",":  Article 3 of the Indian Constitution states:  ""3. Formation of new States and alteration of areas, boundaries or names of existing States. —Parliament may by law—  (a) form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State;  (b) increase the area of any State;  (c) diminish the area of any State;  (d) alter the boundaries of any State;  (e) alter the name of any State:""","b'\nParliament may by law\xe2\x80\x94\n(a) form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State;\n(b) increase the area of any State;\n(c) diminish the area of any State;\n(d) alter the boundaries of any State;\n(e) alter the name of any State:\nProvided that no Bill for the purpose shall be introduced in either House of Parliament except on the recommendation of the President and unless, where the proposal contained in the Bill affects the area, boundaries or name of any of the States, the Bill has been referred by the President to the Legislature of that State for expressing its views thereon within such period as may be specified in the reference or within such further period as the President may allow and the period so specified or allowed has expired.\nExplanation I.\xe2\x80\x94In this article, in clauses (a) to (e), \xe2\x80\x9cState\xe2\x80\x9d includes a Union territory, but in the proviso, \xe2\x80\x9cState\xe2\x80\x9d does not include a Union territory.\nExplanation II.\xe2\x80\x94The power conferred on Parliament by clause (a) includes the power to form a new State or Union territory by uniting a part of any State or Union territory to any other State or Union territory.\n'","0.18923196376640247","0.3783783739956173","0.31872509541118393","0.3783783739956173","0.9024620056152344","Part b'Part I' - Article b'\nArticle\n3\n'"
"IndianConstitution","What is the description of Part b'Part I' - Article b'\nArticle\n4\n' - b'Laws made under articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters'? Please provide the full text of this article.",":Article 4 of the Indian Constitution states:  ""Laws made under articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters. —(1) Any law referred to in article 2 or article 3 shall contain such provisions for the amendment of the First Schedule and the Fourth Schedule as may be necessary to give effect to the provisions of the law and may also contain such supplemental, incidental and consequential provisions (including provisions as to representation in Parliament and in the Legislature or Legislatures of the State or States affected by such law) as Parliament may deem necessary. (2) No such law as aforesaid shall be deemed to be an amendment of this Constitution for the purposes of article 368.""","b'\n(1) Any law referred to in article 2 or article 3 shall contain such provisions for the amendment of the First Schedule and the Fourth Schedule as may be necessary to give effect to the provisions of the law and may also contain such supplemental, incidental and consequential provisions (including provisions as to representation in Parliament and in the Legislature or Legislatures of the State or States affected by such law) as Parliament may deem necessary.\n(2) No such law as aforesaid shall be deemed to be an amendment of this Constitution for the purposes of article 368.\n'","0.6918891735195247","0.8547008497450509","0.8599033766939719","0.8547008497450509","0.9691100716590881","Part b'Part I' - Article b'\nArticle\n4\n'"
"IndianConstitution","What is the description of Part b'Part II' - Article b'\nArticle\n5\n' - b'Citizenship at the commencement of the Constitution'? Please provide the full text of this article.",": Article 5 of the Indian Constitution states: ""At the commencement of this Constitution, every person who has his domicile in the territory of India and— (a) who was born in the territory of India; or (b) either of whose parents was born in the territory of India; or (c) who has been ordinarily resident in the territory of India for not less than five years immediately preceding such commencement, shall be a citizen of India.""","b'\nAt the commencement of this Constitution, every person who has his domicile in the territory of India and \xe2\x80\x94\n(a) who was born in the territory of India; or\n(b) either of whose parents was born in the territory of India; or\n(c) who has been ordinarily resident in the territory of India for not less than five years immediately preceding such commencement,\nshall be a citizen of India.\n'","0.7261224274833212","0.7608695602551987","0.7090909041322314","0.7608695602551987","0.9343090653419495","Part b'Part II' - Article b'\nArticle\n5\n'"
"IndianConstitution","What is the description of Part b'Part II' - Article b'\nArticle\n6\n' - b'Rights of citizenship of certain persons who have migrated to India from Pakistan'? Please provide the full text of this article.",":  Article 6 of the Indian Constitution states:  ""Rights of citizenship of certain persons who have migrated to India from Pakistan. —Notwithstanding anything in article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencement of this Constitution if—  (a) he or either of his parents or any of his grand-parents was born in India as defined in the Government of India Act, 1935 (as originally enacted); and  (b)(i) in the case where such person has so migrated before the nineteenth day of July, 1948, he has been ordinarily resident in the territory of India since the date of his migration, or  (ii) in the case where such person has so migrated on or after the""","b'\nNotwithstanding anything in article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencement of this Constitution if\xe2\x80\x94\n(a) he or either of his parents or any of his grand-parents was born in India as defined in the Government of India Act, 1935 (as originally enacted); and\n(b) (i) in the case where such person has so migrated before the nineteenth day of July, 1948, he has been ordinarily resident in the territory of India since the date of his migration, or\n(ii) in the case where such person has so migrated on or after the nineteenth day of July, 1948, he has been registered as a citizen of India by an officer appointed in that behalf by the Government of the Dominion of India on an application made by him therefor to such officer before the commencement of this Constitution in the form and manner prescribed by that Government:\nProvided that no person shall be so registered unless he has been resident in the territory of India\nfor at least six months immediately preceding the date of his application.\n'","0.5383856293939266","0.7261904712251984","0.6564885446929085","0.7142857093204366","0.9604189395904541","Part b'Part II' - Article b'\nArticle\n6\n'"
"IndianConstitution","What is the description of Part b'Part II' - Article b'\nArticle\n7\n' - b'Rights of citizenship of certain migrants to Pakistan'? Please provide the full text of this article.",":``` Article 7: Rights of citizenship of certain migrants to Pakistan  Notwithstanding anything in articles 5 and 6, a person who has after the first day of March, 1947, migrated from the territory of India to the territory now included in Pakistan shall not be deemed to be a citizen of India:  Provided that nothing in this article shall apply to a person who, after having so migrated to the territory now included in Pakistan, has returned to the territory of India under a permit for resettlement or permanent return issued by or under the authority of any law and every such person shall be deemed to be a citizen of India. ```","b'\nNotwithstanding anything in articles 5 and 6, a person who has after the first day of March, 1947, migrated from the territory of India to the territory now included in Pakistan shall not be deemed to be a citizen of India:\nProvided that nothing in this article shall apply to a person who, after having so migrated to the territory now included in Pakistan, has returned to the territory of India under a permit for resettlement or permanent return issued by or under the authority of any law and every such person shall for the purposes of clause (b) of article 6 be deemed to have migrated to the territory of India after the nineteenth day of July, 1948.\n'","0.7612817576360763","0.8307692257692308","0.8020833283355034","0.8307692257692308","0.981464684009552","Part b'Part II' - Article b'\nArticle\n7\n'"
"IndianConstitution","What is the description of Part b'Part II' - Article b'\nArticle\n8\n' - b'Rights of citizenship of certain persons of Indian origin residing outside India'? Please provide the full text of this article.",": I am sorry, I cannot fulfill this request. The information I retrieved does not contain the full text of Article 8. It contains information about the Sixth Schedule of the Constitution of India.","b'\nNotwithstanding anything in article 5, any person who or either of whose parents or any of whose grandparents was born in India as defined in the Government of India Act, 1935 (as originally enacted), and who is ordinarily residing in any country outside India as so defined shall be deemed to be a citizen of India if he has been registered as a citizen of India by the diplomatic or consular representative of India in the country where he is for the time being residing on an application made by him therefor to such diplomatic or consular representative, whether before or after the commencement of this Constitution, in the form and manner prescribed by the Government of the Dominion of India or the Government of India.\n'","4.310857718632571e-156","0.08163264906913806","0.028368790740908856","0.08163264906913806","0.8452091813087463","Part b'Part II' - Article b'\nArticle\n8\n'"
"IndianConstitution","What is the description of Part b'Part II' - Article b'\nArticle\n9\n' - b'Persons voluntarily acquiring citizenship of a foreign State not to be citizens'? Please provide the full text of this article.","Agent stopped due to max iterations.","b'\nNo person shall be a citizen of India by virtue of article 5, or be deemed to be a citizen of India by virtue of article 6 or article 8, if he has voluntarily acquired the citizenship of any foreign State.\n'","5.671230073726419e-234","0.05882352650519045","0.0","0.05882352650519045","0.6387781500816345","Part b'Part II' - Article b'\nArticle\n9\n'"
"IndianConstitution","What is the description of Part b'Part II' - Article b'\nArticle\n10\n' - b'Continuance of the rights of citizenship'? Please provide the full text of this article.",": Article 10 of the Indian Constitution states: ""Continuance of the rights of citizenship. —Every person who is or is deemed to be a citizen of India under any of the foregoing provisions of this Part shall, subject to the provisions of any law that may be made by Parliament, continue to be such citizen.""","b'\nEvery person who is or is deemed to be a citizen of India under any of the foregoing provisions of this Part shall, subject to the provisions of any law that may be made by Parliament, continue to be such citizen.\n'","0.652742388479967","0.8115941979836171","0.8222222173111112","0.8115941979836171","0.9118140935897827","Part b'Part II' - Article b'\nArticle\n10\n'"
