"domain","question","generated_answer","gold_answer","bleu","rouge-1","rouge-2","rouge-l","embedding_similarity"
"Constitution","What is India according to the Union and its Territory?",": According to the Constitution of India, India, that is Bharat, is a Union of States. The territory of India comprises: (a) the territories of the States; (b) the Union territories specified in the First Schedule; and (c) such other territories as may be acquired. I recommend you consult Article 1 of the Constitution of India and the First Schedule for a comprehensive understanding.","India, that is Bharat, shall be a Union of States.","0.10118507247760351","0.3396226384478463","0.1791044752862553","0.3018867893912424","0.8541330099105835"
"Constitution","How is India, that is Bharat, defined in terms of its political structure?",": India, also known as Bharat, is defined in the Constitution as a ""Union of States"" under Article 1.","India, that is Bharat, is defined as a Union of States according to the Union and its Territory.","0.18088201962129938","0.4705882303114187","0.1714285664326532","0.41176470089965406","0.9083239436149597"
"Constitution","What does the territory of India comprise of?",": I do not have access to the full text of the Constitution, but I can use the search tool to find the information you are looking for. What article or topic within the Constitution would you like me to search for?","The territory of India shall comprise the territories of the States, the Union territories specified in the First Schedule, and such other territories as may be acquired.","3.760784211123234e-155","0.07407406932098796","0.02985074151927009","0.07407406932098796","0.755963921546936"
"Constitution","What does the territory of a country, such as India, comprise of, according to their constitutional provisions?",": According to the Constitution of India, the territory of India comprises:  1.  The territories of the States; 2.  The Union territories specified in the First Schedule; and 3.  Such other territories as may be acquired.","The territory of a country like India comprises the territories of the States, the Union territories specified in the First Schedule, and such other territories as may be acquired.","0.469675030552609","0.6274509754402153","0.41269840776014116","0.5490196028911958","0.9468567967414856"
"Constitution","Who has the authority to admit or establish new States into the Union?",": The Parliament has the authority to admit or establish new States into the Union, as per Article 3 of the Constitution of India.","Parliament may by law admit into the Union, or establish, new States.","0.13232291594986312","0.4848484802203858","0.17647058385813158","0.3030302984022039","0.826396644115448"
"Constitution","Who can, by law, admit or establish new States into the Union?",": According to Article 2 of the Constitution of India, the Parliament may by law admit new States into the Union, or establish new States","Parliament","7.992219124248642e-232","0.09523809433106578","0.0","0.09523809433106578","0.49279093742370605"
"Constitution","Under what circumstances can a new State be formed?",": Article 3 of the Indian Constitution empowers the Parliament to form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State. Parliament can also increase or diminish the area of any State, alter the boundaries of any State, and alter the name of any State. This can be done through legislation.","A new State can be formed by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State.","0.3949011907972199","0.612903221326743","0.5591397805757892","0.612903221326743","0.9439259171485901"
"Constitution","What are the ways in which a new State can be formed?",": Article 3 of the Indian Constitution empowers the Parliament to form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State. Furthermore, Parliament may increase the area of any State, diminish the area of any State, alter the boundaries of any State, or alter the name of any State. All this can be done by law.","A new State can be formed by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State.","0.36218149522446047","0.612903221326743","0.5531914850158444","0.612903221326743","0.9405500888824463"
"Constitution","What power does the Parliament have over the area and boundaries of a State?",": Under Article 3 of the Indian Constitution, the Parliament has the power to:  1.  Form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State. 2.  Increase the area of any State. 3.  Diminish the area of any State. 4.  Alter the boundaries of any State. 5.  Alter the name of any State.  This power is subject to the condition that a bill for this purpose can only be introduced in Parliament on the recommendation of the President, and the President must refer the bill to the Legislature of the State concerned for expressing its views within a specified period.","Parliament may by law increase the area of any State, diminish the area of any State, alter the boundaries of any State, and alter the name of any State.","0.14975780981139136","0.2380952350113379","0.1290322553590011","0.21428571120181408","0.9037965536117554"
"Constitution","What can Parliament do by law in relation to the area, boundaries, and name of a State?",": Under Article 3 of the Constitution, the Parliament may by law: (a) form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State; (b) increase the area of any State; (c) diminish the area of any State; (d) alter the boundaries of any State; (e) alter the name of any State;  However, no bill for this purpose can be introduced in either House of Parliament except on the recommendation of the President and unless, where the proposal contained in the bill affects the area, boundaries or name of any of the States, the bill has been referred by the President to the Legislature of that State for expressing its views thereon within such period as may be specified in the reference or within such further period as the President may allow and the period so specified or allowed has expired.","Parliament may by law increase the area of any State, diminish the area of any State, alter the boundaries of any State, and alter the name of any State.","0.11187586366983894","0.28282828011835537","0.16455695981413238","0.2626262599163351","0.8991774320602417"
