"domain","question","generated_answer","gold_answer","bleu","rouge-1","rouge-2","rouge-l","embedding_similarity"
"Constitution","How is India, that is Bharat, defined in terms of its political structure?","India, that is Bharat, is defined in its Constitution's Preamble as a Sovereign, Socialist, Secular, Democratic, Republic.  This signifies a political structure where supreme power rests with the people and is exercised through a system of elected representatives, while upholding principles of sovereignty, socialism, secularism, and democracy.  To provide a more comprehensive answer, I would need further clarification on the specific aspects of the political structure you wish to explore.  For example, are you interested in the federal structure, the parliamentary system, the role of the judiciary, or other specific elements?","India, that is Bharat, is defined as a Union of States according to the Union and its Territory.","0.07189378138888051","0.2758620659637997","0.11428571157188214","0.22988505446954688","0.6208770871162415"
"Constitution","What does the territory of India comprise of?","The territory of India, as defined in Article 1(3) of the Constitution of India, comprises: (a) the territories of the States; (b) the Union territories specified in the First Schedule; and (c) such other territories as may be acquired.","The territory of India shall comprise the territories of the States, the Union territories specified in the First Schedule, and such other territories as may be acquired.","0.36172757146063705","0.6666666617447917","0.5483870919042665","0.6666666617447917","0.7335690259933472"
"Constitution","What does the territory of a country, such as India, comprise of, according to their constitutional provisions?","To the Petitioner and Respondent:  Your responses regarding Article 1(3) are partially correct, but lack crucial depth.  While Article 1(3) outlines the components of India's territory,  it raises several critical questions.  Let's delve deeper:  1. **Acquisition of Territory (Article 1(3)(c)):**  Article 1(3)(c) mentions ""such other territories as may be acquired.""  Explain the legal and constitutional processes involved in acquiring new territories.  What are the potential legal challenges, both domestically and internationally, that might arise from such acquisitions?  What role does international law play in determining the legality and validity of territorial acquisitions?  Provide specific examples, if any, of territories acquired by India after its independence and the legal framework used for their integration.  2. **First Schedule and Union Territories:** The First Schedule lists the Union Territories.  How does the inclusion or exclusion of a territory in the First Schedule affect its governance and legal status within the Indian Union?  What is the process for amending the First Schedule to include or exclude territories?  What are the implications of this process for the territorial integrity of India?  3. **Disputes over Territorial Boundaries:**  Given the complexities of border demarcation and potential disputes with neighboring countries, how does the Indian legal system address and resolve such conflicts?  What are the relevant constitutional provisions, legal mechanisms, and international treaties involved in resolving territorial disputes?  Are there any landmark Supreme Court cases that have addressed such issues?  Please cite relevant case law.  Your answers should demonstrate a comprehensive understanding of the constitutional provisions, legal processes, and international legal principles governing India's territorial extent.  I expect precise and well-supported answers, demonstrating a thorough grasp of the subject matter.","The territory of a country like India comprises the territories of the States, the Union territories specified in the First Schedule, and such other territories as may be acquired.","0.035300044806441416","0.1691542268290389","0.07067137630885643","0.14925372931660108","0.652357280254364"
"CRPC","What is the purpose of Section 3 in the Code of Criminal Procedure, 1973?","To the Petitioner and Respondent:  My questions pertain to Section 3 of the Code of Criminal Procedure, 1973.  While my attempts to locate the precise text within the provided tools have been unsuccessful, I understand its general purpose is to define the territorial extent and application of the Code.  Therefore, my questions will focus on testing your understanding of this scope and any limitations it might impose.  1.  **Petitioner:**  Explain, in your own words, the purpose of Section 3 of the Code of Criminal Procedure, 1973.  What are the key implications of this section for the application of the Code within India's territory?  2.  **Respondent:**  Section 3 likely addresses the geographical limits of the Code's applicability.  Are there any exceptions or limitations to this geographical scope?  Provide specific examples to illustrate your answer.  3.  **Petitioner & Respondent (Joint):**  Imagine a scenario where a crime is committed on an Indian ship in international waters.  Would the Code of Criminal Procedure, 1973, apply in this situation?  Justify your answer with reference to the principles underlying Section 3 and any relevant legal precedents.  How would the application of the Code differ if the crime was committed on foreign soil but involved an Indian citizen?  4.  **Petitioner:**  Let's assume a situation where a dispute arises regarding the application of the Code in a newly acquired territory.  What legal mechanisms are available to resolve this dispute, and what role does Section 3 play in this process?  5.  **Respondent:**  How does Section 3 interact with other provisions of the Code of Criminal Procedure, 1973, and other relevant laws, to ensure a consistent and just application of criminal law throughout India?  Provide specific examples to illustrate the interplay between Section 3 and other legal provisions.   These questions aim to assess your understanding of the purpose and implications of Section 3, CrPC, 1973, and your ability to apply this understanding to hypothetical scenarios.  Your answers should demonstrate a thorough grasp of the legal principles involved and be supported by relevant legal arguments and, if possible, case law.","Construction of references","4.0536223217769254e-232","0.011235954724782235","0.0","0.011235954724782235","0.29820775985717773"
"CRPC","Which section of the Code of Criminal Procedure, 1973 is about 'Construction of References'?","There is no specific section in the Code of Criminal Procedure, 1973, explicitly titled ""Construction of References.""  The interpretation of references within the CrPC, like any other statute, is governed by general principles of statutory interpretation.  These principles are not codified in a single section but are applied judicially based on established legal precedents and principles of interpretation.  The court would look to the definitions section and other relevant sections to understand the meaning of terms and phrases used within the CrPC.","Section 3","5.882492291217442e-232","0.0","0.0","0.0","0.3926398754119873"
"CRPC","What is regulated under Section 4 in the Code of Criminal Procedure, 1973?","I cannot answer your question definitively without access to the text of Section 4 of the Code of Criminal Procedure, 1973. My searches in the provided databases did not yield the relevant section.  The Bharatiya Nyaya Sanhita (BNS) has largely replaced the CrPC, 1973, making it difficult to access the precise wording of Section 4 from the older code.  While I found a Supreme Court case referencing the Code of Criminal Procedure, 1973, it did not directly address Section 4.  To answer your question accurately, I require access to the original text of Section 4 of the Code of Criminal Procedure, 1973.","Trial of offences under the Indian Penal Code and other laws","7.32173788293977e-232","0.08571428306530622","0.0","0.08571428306530622","-0.10298017412424088"
"CRPC","Under which section in the Code of Criminal Procedure, 1973 is the trial of offences under the Indian Penal Code and other laws regulated?","There is no single section in the repealed Code of Criminal Procedure, 1973, that solely regulates the trial of offences under the Indian Penal Code and other laws.  The CrPC, 1973, contained numerous sections that collectively governed this process.  These sections would have covered various aspects, including but not limited to: jurisdiction of courts (which court has the power to hear a particular case), procedures for investigation and trial (how the case proceeds), rules of evidence (what evidence is admissible), and appeals (how to challenge a court's decision).  The specific sections involved would vary depending on the nature of the offence and the relevant legislation.  Because the CrPC, 1973, has been replaced by the Bharatiya Nyaya Sanhita (BNS), identifying the precise section numbers from the old code is not feasible with the current tools.","Section 4","5.106573297063853e-232","0.0","0.0","0.0","0.33657363057136536"
"IPC","What does the Indian Penal Code say about the impact of this Act on certain laws?","I cannot answer your question.  The question ""What does the Indian Penal Code say about the impact of this Act on certain laws?"" is too vague.  To provide a useful response, I require the following information:  1. **Specification of ""this Act"":** Please identify the specific Act whose impact on other laws, including the Indian Penal Code (IPC), you wish to understand.  2. **Clarification of ""certain laws"":**  Which specific laws are you interested in?  The IPC is vast, and its interaction with other Acts is complex and context-dependent.  Narrowing the scope of ""certain laws"" will allow for a more focused and accurate response.  Once this information is provided, I can attempt to answer your question by researching relevant case law and legal interpretations.  The IPC itself does not contain provisions directly addressing the impact of other Acts; such impacts are determined through judicial interpretation and potential amendments.","The Indian Penal Code specifies that certain laws are not to be affected by this Act.","0.019259860727074623","0.20168066994138836","0.05298013066093599","0.1848739472523127","0.69598388671875"
"IPC","What is 'Man', 'Woman', 'Person', and 'Public' according to the Indian Penal Code?","The Indian Penal Code (IPC) does not provide explicit definitions for ""man,"" ""woman,"" ""person,"" or ""public.""  The meanings are context-dependent and derived from common law interpretations and judicial precedents.  To illustrate:  * **Man/Woman:**  The IPC uses these terms implicitly, often within the context of specific offences.  Their interpretation relies on societal understanding at the time of the offence and may evolve with changing social norms and judicial pronouncements.  There's no single section defining them.  Modern interpretations often consider gender identity and legal recognition.  * **Person:**  This term is broadly used throughout the IPC and generally refers to a human being, natural or legal.  Specific sections might clarify the meaning in their context, but there's no overarching definition.  * **Public:**  The IPC uses ""public"" in various contexts (e.g., public nuisance, public servant).  The definition depends on the specific section.  Case law has established interpretations based on factors like the number of people involved, the location, and the nature of the act.  There is no single, universally applicable definition.  Therefore, understanding the meaning of these terms requires examining the specific section of the IPC where they appear and considering relevant case law interpreting those sections.  A simple, universal definition for each term within the IPC does not exist.","These terms are defined in the 'General Explanations' section of the Indian Penal Code, however, the actual definitions are not provided in the provided text.","0.016961588150631337","0.12499999790703127","0.027522933892349263","0.11249999790703126","0.5943554639816284"
"IPC","Where are the terms 'Man', 'Woman', 'Person', and 'Public' defined in the Indian Penal Code?","The Indian Penal Code (IPC) does not provide explicit, standalone definitions for ""man,"" ""woman,"" ""person,"" or ""public.""  The interpretation of these terms is context-specific and relies on common law principles, judicial precedents, and the specific section of the IPC in which they are used.  For example, the meaning of ""public"" in the context of ""public nuisance"" will differ from its meaning in other sections.  Similarly, the terms ""man"" and ""woman"" are increasingly interpreted in light of evolving social norms and legal recognition of gender identity, rather than relying solely on traditional binary definitions.  Therefore, determining the meaning of these terms requires a careful examination of the relevant IPC section and any associated case law.","These terms are defined in the 'General Explanations' section of the Indian Penal Code.","0.02738419407140231","0.18947368184819946","0.0819672112106961","0.18947368184819946","0.5959224700927734"
